state,date,positive,negative,positiveIncrease,negativeIncrease,bigFlag,negativeJump,positiveJump
NC,20200318,63,1787,23,1313,0.369671614215543,0.734750979294908,0.365079365079365
CT,20200309,1,46,0,17,0.369565217391304,0.369565217391304,0
MD,20200307,3,41,0,15,0.365853658536585,0.365853658536585,0
OR,20200305,3,45,0,16,0.355555555555556,0.355555555555556,0
VT,20200311,1,62,0,22,0.354838709677419,0.354838709677419,0
KS,20200310,1,17,0,6,0.352941176470588,0.352941176470588,0
VT,20200315,4,348,0,121,0.347701149425287,0.347701149425287,0
VA,20200315,45,363,15,246,0.34435261707989,0.677685950413223,0.333333333333333
ID,20200316,5,265,0,91,0.343396226415094,0.343396226415094,0
AR,20200317,22,197,0,65,0.32994923857868,0.32994923857868,0
NH,20200325,108,2356,7,909,0.321008614726781,0.385823429541596,0.064814814814815
VT,20200313,2,142,0,45,0.316901408450704,0.316901408450704,0
FL,20200310,19,222,1,82,0.316737790422001,0.369369369369369,0.052631578947369
RI,20200316,21,308,1,110,0.30952380952381,0.357142857142857,0.047619047619048
KY,20200308,1,13,0,4,0.307692307692308,0.307692307692308,0
PR,20200317,5,13,0,4,0.307692307692308,0.307692307692308,0
VA,20200317,67,961,16,523,0.305418795719633,0.544224765868887,0.238805970149254
TX,20200320,194,5083,51,2871,0.301937324942045,0.564823922880189,0.262886597938144
HI,20200322,48,263,11,139,0.299350443599493,0.52851711026616,0.229166666666667
KS,20200317,15,382,4,216,0.298778359511344,0.565445026178011,0.266666666666667
OR,20200306,3,64,0,19,0.296875,0.296875,0
AR,20200314,12,65,3,35,0.288461538461538,0.538461538461538,0.25
NM,20200317,23,1249,6,683,0.285967904758589,0.546837469975981,0.260869565217391
DC,20200309,1,14,0,4,0.285714285714286,0.285714285714286,0
NM,20200318,28,2326,5,1077,0.284455226630635,0.463026655202064,0.178571428571429
AZ,20200312,9,82,0,23,0.280487804878049,0.280487804878049,0
ND,20200314,1,54,0,15,0.277777777777778,0.277777777777778,0
NM,20200315,13,482,3,245,0.277529524417491,0.508298755186722,0.230769230769231
SC,20200324,298,2012,-1,546,0.274727474081684,0.271371769383698,-0.003355704697987
NY,20200318,2382,12215,682,6709,0.262928712512626,0.549242734343021,0.286314021830395
IA,20200323,105,2043,15,828,0.262429200755192,0.405286343612335,0.142857142857143
NH,20200312,6,94,2,56,0.26241134751773,0.595744680851064,0.333333333333333
AK,20200325,42,1649,6,663,0.25920471281296,0.402061855670103,0.142857142857143
DC,20200322,98,957,21,451,0.256978653530378,0.471264367816092,0.214285714285714
OK,20200312,3,36,1,21,0.25,0.583333333333333,0.333333333333333
ID,20200324,50,1887,3,578,0.246306306306306,0.306306306306306,0.06
DC,20200320,71,501,32,348,0.243906553091001,0.694610778443114,0.450704225352113
IA,20200312,14,67,1,21,0.242004264392324,0.313432835820896,0.071428571428572
SC,20200314,13,110,1,35,0.241258741258741,0.318181818181818,0.076923076923077
SD,20200316,10,494,1,167,0.238056680161943,0.338056680161943,0.1
NE,20200310,3,47,0,11,0.234042553191489,0.234042553191489,0
DE,20200313,4,30,0,7,0.233333333333333,0.233333333333333,0
SC,20200312,10,48,1,16,0.233333333333333,0.333333333333333,0.1
ND,20200316,1,123,0,28,0.227642276422764,0.227642276422764,0
KS,20200313,6,93,2,52,0.225806451612903,0.559139784946237,0.333333333333333
CO,20200317,160,1056,29,429,0.225,0.40625,0.18125
OK,20200316,10,174,1,56,0.22183908045977,0.32183908045977,0.1
MT,20200317,8,303,1,105,0.221534653465346,0.346534653465346,0.125
CO,20200318,183,1617,23,561,0.221255715400914,0.346938775510204,0.12568306010929
IN,20200319,56,324,17,170,0.221119929453263,0.524691358024691,0.303571428571429
OH,20200310,3,14,0,3,0.214285714285714,0.214285714285714,0
MD,20200308,3,52,0,11,0.211538461538462,0.211538461538462,0
IL,20200316,93,932,29,483,0.206412386358392,0.518240343347639,0.311827956989247
KY,20200313,11,107,3,51,0.203908241291419,0.476635514018692,0.272727272727273
